,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vardo,70.3705,31.1107,288.01,93,75,1.03,NO,1626107461
1,talnakh,69.4865,88.3972,278.44,70,100,2.86,RU,1626107461
2,hermanus,-34.4187,19.2345,283.6,70,91,11.41,ZA,1626107462
3,ancud,-41.8697,-73.8203,281.05,76,84,1.37,CL,1626107462
4,mahibadhoo,3.7833,72.9667,301.37,77,70,5.12,MV,1626107462
5,marsh harbour,26.5412,-77.0636,301.93,71,100,7.31,BS,1626107463
6,punta arenas,-53.15,-70.9167,276.16,87,75,13.89,CL,1626107407
7,punta arenas,-53.15,-70.9167,276.16,87,75,13.89,CL,1626107407
8,bluff,-46.6,168.3333,280.94,73,95,2.32,NZ,1626107463
9,busselton,-33.65,115.3333,287.06,79,66,12.54,AU,1626107463
10,te anau,-45.4167,167.7167,273.92,95,39,0.54,NZ,1626107464
11,tsogni,-2.7942,10.0988,296.33,76,65,3.54,GA,1626107464
12,hermanus,-34.4187,19.2345,283.6,70,91,11.41,ZA,1626107462
13,hobart,-42.8794,147.3294,284.41,80,100,1.79,AU,1626107464
14,avarua,-21.2078,-159.775,297.18,78,20,4.63,CK,1626107465
15,hermanus,-34.4187,19.2345,283.6,70,91,11.41,ZA,1626107462
16,arraial do cabo,-22.9661,-42.0278,300.13,65,20,4.63,BR,1626107399
17,kruisfontein,-34.0033,24.7314,286.97,73,62,12.9,ZA,1626107465
18,mehamn,71.0357,27.8492,286.25,88,75,3.09,NO,1626107465
19,rikitea,-23.1203,-134.9692,296.2,77,20,5.76,PF,1626107466
20,cockburn town,21.4612,-71.1419,302.13,74,75,7.2,TC,1626107466
21,vaini,-21.2,-175.2,295.24,100,40,1.54,TO,1626107466
22,mahebourg,-20.4081,57.7,293.31,88,75,8.23,MU,1626107466
23,albany,42.6001,-73.9662,294.15,96,100,0.89,US,1626107401
24,hobart,-42.8794,147.3294,284.41,80,100,1.79,AU,1626107464
25,bambous virieux,-20.3428,57.7575,293.29,88,75,8.23,MU,1626107467
26,rikitea,-23.1203,-134.9692,296.2,77,20,5.76,PF,1626107466
27,margherita,27.2833,95.6833,298.31,96,10,1.27,IN,1626107467
28,mataura,-46.1927,168.8643,277.44,97,100,0.86,NZ,1626107467
29,aklavik,68.2191,-135.0107,286.61,49,45,4.46,CA,1626107468
30,dikson,73.5069,80.5464,273.92,95,100,10.07,RU,1626107468
31,swan hill,-35.3378,143.5544,281.16,89,57,2.1,AU,1626107468
32,rikitea,-23.1203,-134.9692,296.2,77,20,5.76,PF,1626107466
33,cape town,-33.9258,18.4232,284.38,65,75,4.02,ZA,1626106807
34,busselton,-33.65,115.3333,287.06,79,66,12.54,AU,1626107463
35,chokurdakh,70.6333,147.9167,276.44,62,100,3.24,RU,1626107469
36,port alfred,-33.5906,26.891,291.9,65,60,10.8,ZA,1626107469
37,vaini,-21.2,-175.2,295.24,100,40,1.54,TO,1626107466
38,punta arenas,-53.15,-70.9167,276.16,87,75,13.89,CL,1626107407
39,kamina,-8.7386,24.9906,292.09,30,3,2.56,CD,1626107469
40,samfya,-11.3649,29.5565,292.44,48,58,3.17,ZM,1626107470
41,kapaa,22.0752,-159.319,297.33,85,90,6.17,US,1626107470
42,chilliwack,49.1747,-121.9443,294.58,68,1,1.03,CA,1626107470
43,atuona,-9.8,-139.0333,299.23,70,28,8.54,PF,1626107471
44,kavieng,-2.5744,150.7967,300.98,78,51,7.26,PG,1626107471
45,vaini,-21.2,-175.2,295.24,100,40,1.54,TO,1626107466
46,severo-kurilsk,50.6789,156.125,283.7,96,64,3.36,RU,1626107471
47,atar,20.5169,-13.0499,314.1,17,45,2.5,MR,1626107472
48,ushuaia,-54.8,-68.3,273.96,86,90,4.12,AR,1626107472
49,samarai,-10.6167,150.6667,298.84,85,33,4.52,PG,1626107472
50,lebu,-37.6167,-73.65,284.47,62,0,3.0,CL,1626107472
51,taoudenni,22.6783,-3.9836,317.71,11,45,2.82,ML,1626107473
52,new norfolk,-42.7826,147.0587,284.22,81,100,0.89,AU,1626107473
53,ribeira grande,38.5167,-28.7,295.37,68,20,8.23,PT,1626107473
54,emerald,-23.5333,148.1667,286.47,57,4,2.57,AU,1626107473
55,avarua,-21.2078,-159.775,297.18,78,20,4.63,CK,1626107465
56,new norfolk,-42.7826,147.0587,284.22,81,100,0.89,AU,1626107473
57,aswan,24.0934,32.907,315.76,12,0,4.12,EG,1626107474
58,rikitea,-23.1203,-134.9692,296.2,77,20,5.76,PF,1626107466
59,ushuaia,-54.8,-68.3,273.96,86,90,4.12,AR,1626107472
60,airai,-8.9266,125.4092,285.77,53,4,1.68,TL,1626107474
61,hobyo,5.3505,48.5268,298.88,78,29,12.93,SO,1626107475
62,rikitea,-23.1203,-134.9692,296.2,77,20,5.76,PF,1626107466
63,constanza,47.6603,9.1758,301.77,56,87,2.24,DE,1626107475
64,chuy,-33.6971,-53.4616,290.55,79,99,3.24,UY,1626107475
65,waipawa,-41.4122,175.5153,277.06,87,93,2.88,NZ,1626107476
66,biloela,-24.4167,150.5,284.81,90,30,1.55,AU,1626107476
67,atuona,-9.8,-139.0333,299.23,70,28,8.54,PF,1626107471
68,faanui,-16.4833,-151.75,299.99,73,28,9.61,PF,1626107476
69,bela,25.9333,81.9833,304.92,61,29,5.18,IN,1626107476
70,kupang,-10.1667,123.5833,296.4,75,1,4.47,ID,1626107477
71,khor,47.8861,134.9464,293.66,90,8,2.11,RU,1626107477
72,ranong,9.9658,98.6348,298.47,86,83,1.68,TH,1626107477
73,arraial do cabo,-22.9661,-42.0278,300.13,65,20,4.63,BR,1626107399
74,alexandria,31.2156,29.9553,301.45,69,40,5.14,EG,1626107478
75,qaanaaq,77.484,-69.3632,278.82,62,20,2.51,GL,1626107478
76,rikitea,-23.1203,-134.9692,296.2,77,20,5.76,PF,1626107466
77,port alfred,-33.5906,26.891,291.9,65,60,10.8,ZA,1626107469
78,port hedland,-20.3167,118.5667,293.18,94,75,1.54,AU,1626107478
79,oshnaviyeh,37.0397,45.0983,298.29,24,9,2.09,IR,1626107479
80,nayudupeta,13.9,79.9,301.69,62,100,2.72,IN,1626107479
81,port keats,-14.25,129.55,293.73,33,71,3.82,AU,1626107479
82,albany,42.6001,-73.9662,294.15,96,100,0.89,US,1626107401
83,tanout,14.9709,8.8879,309.12,29,38,3.52,NE,1626107480
84,punta arenas,-53.15,-70.9167,276.16,87,75,13.89,CL,1626107407
85,dryden,49.7833,-92.7503,299.31,47,1,6.69,CA,1626107480
86,vaini,-21.2,-175.2,295.24,100,40,1.54,TO,1626107466
87,pilar,-9.5972,-35.9567,301.11,73,22,5.02,BR,1626107341
88,port lincoln,-34.7333,135.8667,284.55,80,98,4.78,AU,1626107481
89,cockburn town,21.4612,-71.1419,302.13,74,75,7.2,TC,1626107466
90,busselton,-33.65,115.3333,287.06,79,66,12.54,AU,1626107463
91,hilo,19.7297,-155.09,296.64,83,90,0.0,US,1626107416
92,ushuaia,-54.8,-68.3,273.96,86,90,4.12,AR,1626107472
93,cape town,-33.9258,18.4232,284.38,65,75,4.02,ZA,1626106807
94,sibolga,1.7427,98.7792,297.73,87,100,0.95,ID,1626107481
95,krasnoselkup,65.7,82.4667,281.25,55,88,5.17,RU,1626107482
96,arraial do cabo,-22.9661,-42.0278,300.13,65,20,4.63,BR,1626107399
