,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,74.08,75,0,22.17,ZA,1642971492
1,wanning,18.8003,110.3967,71.98,92,87,4.12,CN,1642971492
2,barrow,71.2906,-156.7887,-0.38,71,100,5.75,US,1642971493
3,los llanos de aridane,28.6585,-17.9182,64.15,96,75,3.0,ES,1642971493
4,airai,-8.9266,125.4092,60.73,87,100,2.64,TL,1642971493
5,rio verde de mato grosso,-18.9181,-54.8442,91.69,52,95,3.09,BR,1642971493
6,wanlaweyn,2.6185,44.8938,75.99,67,65,16.93,SO,1642971494
7,vredendal,-31.6683,18.5012,73.74,71,61,7.87,ZA,1642971494
8,upernavik,72.7868,-56.1549,-13.83,64,1,5.66,GL,1642971494
9,albany,42.6001,-73.9662,30.27,60,100,2.06,US,1642971384
10,longyearbyen,78.2186,15.6401,11.34,92,64,6.73,SJ,1642971495
11,nemuro,43.3236,145.575,26.13,65,100,5.08,JP,1642971495
12,hilo,19.7297,-155.09,76.39,82,33,1.99,US,1642971495
13,pacific grove,36.6177,-121.9166,69.39,50,0,1.01,US,1642971496
14,puerto ayora,-0.7393,-90.3518,82.36,80,100,10.85,EC,1642971496
15,hualmay,-11.0964,-77.6139,75.56,76,71,10.13,PE,1642971496
16,rikitea,-23.1203,-134.9692,78.48,73,98,16.11,PF,1642971458
17,arraial do cabo,-22.9661,-42.0278,82.36,74,0,18.41,BR,1642971497
18,carauari,-4.8828,-66.8958,80.6,87,100,2.62,BR,1642971497
19,saint-georges,12.0564,-61.7485,82.08,69,20,10.2,GD,1642971497
20,qaanaaq,77.484,-69.3632,-5.01,75,100,4.16,GL,1642971274
21,zaysan,47.4667,84.8667,-5.12,83,74,3.13,KZ,1642971498
22,salme,28.0369,85.0942,41.29,74,60,5.55,NP,1642971498
23,cape town,-33.9258,18.4232,69.28,88,75,14.97,ZA,1642971207
24,biak,-0.9131,122.8766,76.5,81,63,3.31,ID,1642971498
25,klaksvik,62.2266,-6.589,40.12,67,100,26.22,FO,1642971499
26,hithadhoo,-0.6,73.0833,82.02,69,23,16.2,MV,1642971499
27,aklavik,68.2191,-135.0107,2.23,78,75,4.61,CA,1642971499
28,faanui,-16.4833,-151.75,81.32,72,75,17.05,PF,1642971500
29,kihei,20.785,-156.4656,81.66,78,3,4.47,US,1642971500
